seqn,split
95397,test
95401,val
95402,test
95403,val
95405,train
95406,train
95410,train
95411,train
95412,train
95413,train
95414,val
95415,test
95416,val
95417,train
95418,train
95419,test
95421,train
95422,train
95423,train
95424,val
95425,test
95427,train
95429,train
95431,train
95434,train
95436,train
95437,test
95442,train
95444,test
95445,train
95446,val
95447,train
95448,test
95449,train
95450,train
95452,train
95453,test
95454,val
95455,train
95459,train
95465,train
95466,test
95467,train
95468,val
95469,train
95471,train
95472,train
95473,train
95474,train
95479,train
95480,test
95484,train
95486,test
95488,train
95492,test
95493,test
95494,train
95495,train
95499,train
95500,test
95501,train
95503,train
95504,train
95505,train
95506,val
95508,train
95509,train
95510,train
95514,train
95515,test
95519,train
95522,test
95524,train
95525,train
95526,val
95527,train
95528,train
95531,train
95533,train
95534,train
95535,train
95537,test
95539,train
95540,train
95541,train
95542,train
95543,train
95544,train
95547,train
95548,train
95549,train
95550,train
95551,val
95553,val
95556,test
95557,train
95559,train
95561,train
95563,train
95565,train
95566,train
95568,train
95569,train
95571,train
95572,val
95573,train
95574,train
95575,test
95576,train
95577,train
95578,train
95579,train
95581,train
95582,train
95583,train
95586,val
95587,train
95588,train
95589,val
95590,train
95591,train
95593,val
95594,train
95595,train
95597,train
95598,train
95599,train
95600,test
95601,train
95602,train
95606,test
95607,train
95608,train
95609,train
95610,val
95611,train
95612,test
95615,train
95617,val
95621,train
95622,train
95623,train
95625,train
95626,train
95629,train
95630,train
95633,train
95636,train
95637,train
95639,test
95641,test
95643,train
95644,val
95645,train
95648,train
95649,test
95651,train
95652,train
95654,train
95655,test
95656,train
95657,train
95658,train
95659,train
95662,train
95663,train
95664,val
95665,val
95666,train
95668,val
95669,train
95671,train
95672,val
95673,train
95674,train
95675,val
95676,train
95678,train
95680,train
95681,train
95684,val
95685,train
95687,val
95689,train
95690,train
95692,train
95694,test
95696,train
95698,train
95699,train
95700,train
95703,train
95704,test
95708,val
95710,test
95711,test
95713,train
95714,val
95716,train
95717,train
95718,train
95719,train
95720,val
95722,train
95723,train
95725,val
95726,test
95727,test
95729,train
95731,train
95733,val
95734,train
95736,train
95738,test
95743,train
95744,val
95745,train
95748,train
95752,train
95754,train
95756,train
95759,train
95761,train
95762,val
95763,train
95765,train
95767,train
95768,test
95769,train
95770,val
95771,train
95772,train
95773,test
95775,train
95777,train
95778,train
95780,train
95785,train
95787,train
95788,train
95789,train
95791,train
95792,test
95793,train
95794,train
95798,test
95799,test
95802,val
95803,train
95807,train
95809,train
95811,train
95812,train
95813,test
95814,train
95819,val
95820,train
95822,train
95824,test
95825,train
95828,val
95829,train
95831,test
95833,train
95835,train
95836,test
95838,test
95839,train
95841,val
95843,val
95844,train
95846,test
95848,test
95849,train
95850,train
95851,train
95853,train
95854,train
95855,train
95858,train
95860,train
95862,train
95863,train
95864,train
95865,train
95866,train
95867,train
95868,train
95869,test
95870,train
95873,train
95875,train
95877,train
95880,train
95881,test
95882,train
95883,train
95886,train
95891,train
95896,train
95899,test
95900,train
95902,train
95903,train
95904,train
95908,val
95910,train
95911,test
95912,val
95913,test
95914,train
95915,test
95917,train
95919,test
95922,val
95924,train
95928,val
95931,train
95936,train
95939,train
95944,train
95945,train
95950,train
95951,test
95952,val
95955,train
95962,train
95964,train
95966,val
95968,val
95969,val
95971,train
95973,val
95976,train
95977,train
95978,train
95979,train
95981,train
95983,train
95985,val
95986,train
95987,train
95988,train
95990,train
95991,train
95992,train
95993,train
95995,train
95996,train
95997,val
95998,train
96000,train
96001,train
96002,train
96003,train
96004,train
96006,test
96008,val
96010,train
96011,train
96014,train
96016,train
96017,test
96019,train
96020,test
96022,train
96023,train
96025,train
96027,train
96029,train
96030,train
96031,train
96033,train
96034,val
96035,train
96037,val
96038,train
96041,val
96044,train
96048,test
96049,train
96050,val
96056,val
96061,val
96063,test
96064,train
96065,train
96066,train
96067,train
96070,train
96074,test
96077,train
96079,test
96082,train
96084,test
96085,val
96086,test
96087,train
96088,train
96089,train
96090,val
96091,train
96092,train
96093,train
96094,train
96096,train
96097,test
96098,test
96099,train
96100,train
96101,train
96103,val
96105,train
96108,val
96111,train
96112,train
96114,train
96115,train
96116,train
96117,train
96120,train
96121,test
96122,train
96123,test
96124,train
96125,train
96130,train
96133,train
96134,train
96135,train
96136,train
96137,train
96138,train
96139,test
96140,train
96141,train
96143,val
96144,val
96145,val
96147,val
96149,train
96150,train
96151,train
96152,train
96156,train
96158,val
96159,train
96160,train
96162,train
96163,train
96164,train
96165,train
96169,train
96170,train
96171,train
96172,val
96175,val
96178,train
96179,train
96181,train
96184,test
96185,test
96186,train
96188,train
96189,train
96190,train
96191,val
96195,val
96196,train
96198,train
96205,train
96210,train
96211,train
96216,train
96217,train
96219,train
96220,train
96221,train
96222,train
96223,val
96224,train
96226,train
96229,train
96230,train
96234,train
96236,train
96237,train
96239,val
96240,train
96242,train
96243,train
96244,train
96245,val
96249,train
96250,train
96252,val
96253,train
96257,test
96264,train
96265,test
96266,train
96268,val
96269,train
96270,train
96271,train
96272,train
96275,train
96276,train
96279,train
96282,train
96283,val
96284,train
96287,test
96290,val
96291,val
96293,train
96295,train
96296,train
96297,train
96299,val
96301,train
96302,test
96304,train
96306,val
96308,train
96309,train
96310,test
96312,train
96313,test
96317,val
96318,train
96319,val
96320,train
96321,train
96322,test
96323,test
96325,val
96329,test
96330,train
96332,test
96333,train
96335,train
96336,train
96337,val
96339,train
96340,test
96342,train
96344,train
96346,train
96348,val
96349,train
96351,train
96352,train
96355,test
96357,val
96358,train
96360,train
96362,val
96365,test
96366,train
96367,test
96368,train
96370,test
96372,train
96373,train
96377,train
96379,val
96380,train
96382,val
96385,test
96386,train
96389,train
96390,train
96392,val
96393,train
96396,test
96398,train
96399,test
96400,test
96403,train
96404,test
96405,train
96406,test
96408,train
96409,val
96411,val
96413,test
96415,train
96416,train
96417,test
96420,val
96422,test
96426,test
96428,train
96431,val
96432,train
96433,train
96436,test
96439,val
96441,train
96443,train
96444,train
96445,train
96446,train
96448,test
96449,train
96450,train
96451,train
96452,test
96453,test
96455,train
96456,train
96457,train
96462,val
96463,train
96465,test
96466,val
96468,train
96469,train
96471,train
96473,train
96474,train
96475,train
96476,val
96477,train
96479,train
96480,train
96481,val
96483,train
96484,test
96485,train
96486,train
96488,train
96489,train
96490,test
96491,train
96495,test
96497,train
96500,train
96501,test
96502,train
96503,train
96505,val
96507,test
96508,test
96509,train
96510,train
96511,train
96512,train
96513,train
96514,train
96515,train
96517,train
96519,val
96521,train
96522,val
96523,train
96525,val
96526,train
96529,train
96532,train
96534,train
96537,test
96538,train
96540,train
96543,val
96546,train
96547,val
96548,train
96551,test
96552,train
96553,test
96554,train
96555,train
96557,test
96558,train
96560,train
96561,train
96566,train
96568,train
96569,train
96571,train
96573,test
96574,train
96576,train
96578,test
96580,train
96582,test
96583,train
96585,train
96586,train
96587,train
96588,test
96590,val
96592,val
96593,train
96594,val
96596,train
96598,train
96599,train
96600,val
96602,train
96603,train
96607,train
96608,train
96609,train
96610,train
96614,train
96615,train
96616,train
96618,val
96619,train
96622,train
96623,train
96624,train
96625,train
96626,train
96628,train
96629,val
96630,train
96631,train
96633,val
96634,test
96636,train
96638,train
96639,train
96641,train
96642,train
96644,train
96646,train
96649,train
96651,train
96652,train
96653,train
96654,val
96656,train
96657,train
96658,val
96659,train
96660,train
96661,train
96663,train
96666,train
96667,train
96669,train
96671,test
96672,train
96674,test
96677,test
96679,val
96681,test
96683,train
96687,val
96688,val
96692,train
96694,test
96695,train
96697,train
96698,train
96699,test
96700,train
96701,val
96704,train
96705,train
96706,test
96707,train
96708,test
96711,val
96712,test
96718,test
96719,train
96720,train
96721,train
96722,train
96723,train
96725,train
96726,train
96727,val
96730,train
96731,val
96732,train
96736,val
96737,train
96739,train
96740,train
96743,val
96744,train
96745,train
96748,test
96750,train
96752,train
96753,train
96754,train
96758,train
96760,train
96764,train
96766,train
96768,train
96770,train
96771,train
96774,val
96775,train
96777,train
96780,train
96783,train
96784,train
96785,train
96787,val
96788,test
96789,train
96790,val
96792,train
96793,train
96795,val
96798,train
96799,test
96800,train
96804,train
96805,test
96809,train
96810,train
96811,train
96812,test
96813,test
96815,train
96816,train
96818,train
96820,train
96821,test
96826,train
96827,val
96829,train
96830,train
96833,train
96834,train
96835,train
96836,train
96838,test
96839,train
96840,train
96841,test
96842,train
96844,train
96847,train
96848,train
96851,val
96852,train
96854,train
96855,test
96860,test
96862,val
96863,val
96865,train
96866,train
96868,test
96869,train
96871,train
96873,train
96874,val
96875,val
96876,train
96877,val
96878,train
96879,train
96882,val
96884,train
96885,train
96887,train
96890,train
96891,train
96892,train
96893,test
96894,train
96895,train
96896,test
96898,train
96899,test
96900,train
96901,train
96902,train
96903,train
96906,train
96907,train
96908,train
96912,val
96913,train
96915,train
96916,train
96921,train
96922,train
96925,train
96926,test
96927,train
96928,train
96930,train
96933,train
96934,val
96935,train
96938,test
96939,train
96940,val
96941,train
96944,train
96946,train
96948,train
96951,train
96952,val
96953,train
96954,train
96955,train
96956,test
96958,train
96959,train
96960,test
96962,test
96964,test
96965,train
96966,train
96967,train
96969,train
96970,val
96972,val
96975,val
96976,train
96978,test
96979,train
96983,train
96984,train
96985,train
96989,train
96990,train
96992,train
96993,train
96994,train
96996,train
96998,train
97000,test
97003,train
97009,train
97011,train
97013,train
97015,train
97017,train
97018,train
97019,val
97021,test
97022,train
97023,train
97024,train
97025,train
97026,test
97027,train
97029,train
97030,train
97031,test
97032,test
97034,train
97035,train
97036,train
97037,train
97038,train
97039,train
97040,train
97041,test
97042,train
97044,test
97046,train
97048,val
97049,val
97051,test
97054,val
97055,train
97056,train
97057,train
97058,train
97059,train
97060,train
97063,train
97064,train
97065,train
97067,test
97071,train
97077,train
97078,test
97080,val
97088,train
97092,train
97093,test
97094,train
97095,train
97096,val
97097,train
97099,train
97100,train
97102,train
97103,train
97104,train
97105,train
97106,train
97107,train
97108,test
97109,train
97111,train
97115,val
97116,train
97117,train
97118,train
97120,train
97121,val
97122,val
97123,test
97124,train
97125,train
97128,train
97129,train
97131,train
97133,train
97137,train
97138,train
97139,train
97140,test
97142,train
97143,train
97145,val
97147,train
97149,val
97150,train
97152,train
97153,train
97155,train
97156,train
97157,train
97161,train
97163,val
97164,train
97165,train
97166,train
97168,train
97169,train
97171,train
97174,train
97176,train
97177,train
97178,train
97180,train
97181,train
97183,train
97186,train
97188,test
97189,train
97191,train
97192,train
97193,val
97194,train
97197,train
97198,train
97200,train
97201,train
97204,train
97206,test
97208,train
97209,val
97210,train
97211,val
97216,train
97217,train
97221,train
97222,train
97223,val
97224,train
97225,train
97228,train
97229,val
97231,train
97233,train
97234,val
97235,train
97236,train
97237,train
97242,test
97245,train
97247,train
97248,train
97249,test
97250,train
97251,train
97252,train
97253,val
97255,val
97256,train
97257,train
97259,train
97260,val
97263,test
97264,train
97266,train
97268,train
97270,train
97272,test
97274,train
97275,train
97277,val
97278,train
97280,train
97282,train
97284,train
97289,train
97293,train
97297,train
97299,train
97301,train
97304,train
97305,val
97306,train
97307,val
97308,test
97314,val
97316,test
97319,train
97320,test
97321,train
97322,train
97323,train
97325,train
97326,train
97327,train
97330,train
97332,train
97333,train
97334,val
97336,train
97337,train
97338,val
97339,train
97343,test
97348,val
97349,train
97352,train
97353,train
97354,train
97356,train
97357,train
97360,train
97361,val
97362,train
97364,test
97365,train
97367,val
97370,train
97371,train
97373,test
97374,train
97375,train
97379,train
97380,test
97381,val
97382,train
97383,train
97384,train
97386,train
97388,train
97389,train
97390,train
97391,train
97396,train
97397,val
97398,test
97402,train
97403,train
97407,test
97408,test
97409,train
97410,train
97412,train
97415,train
97417,train
97418,test
97419,train
97420,test
97422,train
97423,train
97424,val
97428,test
97429,test
97430,train
97436,train
97437,train
97441,train
97443,train
97444,train
97445,train
97446,train
97449,train
97450,train
97451,train
97452,train
97455,train
97456,train
97458,train
97460,train
97462,test
97463,train
97464,test
97465,train
97468,train
97469,train
97471,train
97472,train
97473,train
97474,train
97478,train
97481,train
97482,val
97484,train
97485,test
97486,train
97487,train
97488,train
97492,train
97495,train
97497,test
97500,val
97501,train
97505,train
97506,train
97507,train
97509,test
97510,train
97512,test
97513,train
97516,train
97518,test
97520,train
97521,train
97522,train
97523,train
97524,train
97526,val
97527,test
97531,test
97532,train
97533,train
97535,test
97536,train
97537,train
97538,train
97539,train
97541,train
97548,train
97550,test
97554,test
97555,train
97557,test
97558,train
97560,val
97561,train
97563,train
97568,train
97569,val
97570,train
97571,train
97572,test
97573,train
97574,test
97575,train
97576,val
97577,train
97578,train
97580,test
97582,train
97585,train
97588,test
97591,train
97592,test
97593,train
97594,train
97595,test
97597,train
97598,train
97600,train
97601,val
97602,val
97605,train
97606,train
97608,train
97609,train
97610,train
97611,train
97617,test
97618,test
97619,train
97620,train
97623,train
97624,train
97626,val
97627,train
97629,train
97630,train
97635,train
97638,train
97639,train
97640,train
97641,train
97642,test
97643,train
97644,train
97648,train
97650,test
97656,train
97657,train
97659,test
97661,train
97662,test
97666,train
97667,train
97668,train
97670,train
97671,train
97672,train
97675,val
97676,train
97683,train
97684,train
97685,train
97688,train
97689,val
97691,val
97692,test
97693,val
97695,train
97697,train
97698,test
97699,val
97701,val
97702,train
97703,val
97704,train
97705,train
97706,train
97708,train
97709,train
97711,train
97712,val
97713,train
97714,train
97716,train
97719,train
97722,val
97724,test
97726,test
97727,train
97728,train
97735,train
97737,train
97739,train
97740,train
97741,train
97744,test
97745,train
97746,train
97747,train
97748,train
97750,train
97751,train
97752,train
97753,train
97756,train
97758,train
97760,train
97761,val
97762,train
97763,val
97764,test
97765,val
97766,test
97768,train
97769,train
97770,train
97771,train
97773,test
97774,train
97775,train
97776,val
97777,train
97779,test
97782,train
97783,train
97784,train
97787,train
97788,train
97790,test
97794,test
97795,train
97801,val
97802,train
97809,train
97810,test
97811,train
97813,train
97817,train
97822,val
97823,train
97827,train
97828,train
97829,train
97830,val
97832,val
97835,train
97840,train
97841,test
97845,train
97847,train
97848,train
97850,train
97851,val
97853,train
97859,val
97861,train
97866,train
97869,train
97871,test
97874,train
97876,train
97877,train
97878,train
97883,test
97886,train
97891,val
97894,train
97895,val
97896,train
97897,train
97899,train
97901,test
97902,test
97903,train
97904,test
97905,train
97908,train
97909,val
97915,train
97916,train
97919,train
97923,test
97924,train
97926,train
97928,train
97929,val
97930,val
97934,val
97935,train
97937,train
97938,train
97940,test
97941,train
97944,train
97945,train
97946,train
97947,train
97948,train
97949,train
97950,train
97951,test
97952,test
97954,train
97955,test
97956,test
97958,train
97959,test
97960,train
97963,test
97964,train
97965,test
97966,train
97967,val
97969,val
97970,train
97971,train
97972,train
97973,train
97974,train
97976,train
97977,train
97978,train
97980,train
97982,train
97983,train
97985,train
97986,train
97987,test
97995,train
97996,val
97997,train
97999,train
98005,train
98006,train
98007,train
98008,train
98009,train
98010,train
98014,train
98015,test
98016,test
98018,train
98019,test
98023,val
98024,train
98028,val
98029,val
98030,val
98031,train
98032,train
98033,test
98034,test
98035,train
98036,train
98040,train
98041,train
98043,val
98045,train
98046,train
98047,train
98048,train
98049,val
98052,train
98054,test
98056,test
98057,train
98058,train
98060,train
98062,train
98065,train
98071,train
98073,train
98075,train
98077,val
98081,train
98082,train
98083,val
98084,val
98085,train
98087,test
98088,test
98092,train
98094,train
98095,train
98096,train
98097,test
98099,test
98100,train
98101,val
98102,train
98103,train
98106,val
98107,val
98109,val
98110,train
98113,train
98114,test
98119,test
98120,train
98121,train
98124,val
98125,train
98130,train
98131,val
98133,train
98134,train
98135,train
98137,val
98138,train
98139,train
98141,train
98142,test
98143,train
98144,val
98145,train
98147,train
98148,train
98152,train
98153,train
98156,val
98158,val
98161,val
98162,train
98165,test
98168,train
98169,train
98172,train
98173,train
98174,val
98175,train
98178,train
98180,train
98187,val
98189,train
98194,train
98195,train
98197,train
98198,train
98202,train
98203,test
98204,train
98205,train
98207,val
98208,train
98209,train
98211,train
98214,train
98215,train
98216,train
98218,val
98220,train
98222,train
98223,train
98225,train
98227,train
98228,val
98230,train
98236,train
98238,test
98241,test
98242,train
98243,train
98244,train
98250,val
98251,train
98253,train
98256,val
98257,test
98258,test
98259,train
98262,train
98264,train
98266,train
98267,test
98269,test
98270,train
98271,train
98272,train
98274,train
98280,train
98284,train
98285,train
98287,train
98288,test
98289,train
98292,test
98293,test
98295,train
98298,train
98299,train
98300,train
98301,train
98302,train
98303,test
98304,train
98308,val
98309,test
98310,train
98314,train
98316,test
98318,val
98320,val
98322,train
98323,train
98326,val
98328,train
98331,train
98332,train
98333,train
98334,train
98336,train
98338,train
98339,train
98341,val
98343,train
98344,train
98345,test
98347,val
98350,train
98351,train
98353,test
98354,train
98355,test
98357,train
98358,val
98360,train
98364,train
98366,train
98368,test
98369,train
98370,val
98371,train
98372,train
98373,train
98374,train
98376,train
98379,test
98381,test
98383,train
98384,train
98385,val
98390,train
98391,train
98392,train
98393,test
98394,test
98395,val
98399,val
98401,test
98402,test
98403,train
98412,test
98413,train
98414,train
98416,train
98417,train
98420,train
98421,test
98422,train
98423,train
98424,val
98426,train
98428,train
98429,train
98431,train
98433,train
98435,test
98436,train
98437,train
98438,train
98441,train
98442,test
98443,train
98444,train
98445,train
98447,train
98448,train
98452,train
98454,train
98456,train
98457,train
98458,train
98460,train
98461,train
98462,val
98463,train
98469,train
98470,train
98473,val
98474,train
98475,train
98479,train
98481,train
98483,train
98485,test
98489,train
98490,train
98491,train
98494,val
98495,train
98496,train
98498,train
98500,train
98501,val
98502,val
98506,test
98508,train
98509,val
98512,train
98514,train
98517,train
98521,train
98523,train
98524,test
98526,train
98527,train
98528,train
98529,train
98530,train
98531,train
98535,test
98536,train
98537,train
98540,train
98541,train
98542,train
98544,test
98545,train
98548,train
98549,test
98550,train
98551,train
98553,train
98554,train
98555,train
98556,train
98557,val
98558,train
98561,train
98562,test
98564,train
98565,train
98568,train
98569,train
98571,val
98574,train
98579,train
98581,train
